[2023-12-24 23:26:41,225][root][INFO] - Running generation for 5 constitution(s) for 100 revision(s) each.
[2023-12-24 23:36:53,902][root][INFO] - slice idx: -2
[2023-12-24 23:36:53,909][root][INFO] - prev examples: [2389]
[2023-12-24 23:36:53,922][root][INFO] - len prev: 1
[2023-12-24 23:37:00,075][root][INFO] - -40.36146545410156 performance of curr const on curr data
[2023-12-24 23:37:00,091][root][INFO] - -40.24201965332031 performance of prev const on curr data
[2023-12-24 23:37:00,093][root][INFO] - 77.4676284790039 performance of curr const on past data
[2023-12-24 23:37:00,095][root][INFO] - 76.34583282470703 performance of prev const on past data
[2023-12-24 23:37:29,085][root][INFO] - slice idx: -2
[2023-12-24 23:37:29,086][root][INFO] - prev examples: [2389]
[2023-12-24 23:37:29,087][root][INFO] - len prev: 1
[2023-12-24 23:37:35,923][root][INFO] - -40.456764221191406 performance of curr const on curr data
[2023-12-24 23:37:35,943][root][INFO] - -37.4266357421875 performance of prev const on curr data
[2023-12-24 23:37:35,944][root][INFO] - 75.84806823730469 performance of curr const on past data
[2023-12-24 23:37:35,946][root][INFO] - 73.50228118896484 performance of prev const on past data
[2023-12-24 23:37:35,949][root][INFO] - Writing to disk.
[2023-12-24 23:37:36,416][root][INFO] - curr_training_examples: [5149]
[2023-12-24 23:37:36,417][root][INFO] - prev_train_examples: [[33077], [2389], [6937], [5149]]
[2023-12-24 23:38:06,125][root][INFO] - slice idx: -2
[2023-12-24 23:38:06,125][root][INFO] - prev examples: [6937]
[2023-12-24 23:38:06,125][root][INFO] - len prev: 1
[2023-12-24 23:38:11,171][root][INFO] - 98.56694030761719 performance of curr const on curr data
[2023-12-24 23:38:11,184][root][INFO] - 101.3916244506836 performance of prev const on curr data
[2023-12-24 23:38:11,185][root][INFO] - -39.727272033691406 performance of curr const on past data
[2023-12-24 23:38:11,186][root][INFO] - -39.278038024902344 performance of prev const on past data
[2023-12-24 23:38:46,964][root][INFO] - slice idx: -2
[2023-12-24 23:38:46,964][root][INFO] - prev examples: [6937]
[2023-12-24 23:38:46,965][root][INFO] - len prev: 1
[2023-12-24 23:38:50,957][root][INFO] - 101.80372619628906 performance of curr const on curr data
[2023-12-24 23:38:50,969][root][INFO] - 101.22834014892578 performance of prev const on curr data
[2023-12-24 23:38:50,970][root][INFO] - -41.70387268066406 performance of curr const on past data
[2023-12-24 23:38:50,971][root][INFO] - -40.581390380859375 performance of prev const on past data
[2023-12-24 23:39:14,159][root][INFO] - slice idx: -2
[2023-12-24 23:39:14,160][root][INFO] - prev examples: [6937]
[2023-12-24 23:39:14,161][root][INFO] - len prev: 1
[2023-12-24 23:39:29,030][root][INFO] - 102.76834106445312 performance of curr const on curr data
[2023-12-24 23:39:29,043][root][INFO] - 106.7150650024414 performance of prev const on curr data
[2023-12-24 23:39:29,044][root][INFO] - -41.03755187988281 performance of curr const on past data
[2023-12-24 23:39:29,045][root][INFO] - -39.420921325683594 performance of prev const on past data
[2023-12-24 23:39:51,954][root][INFO] - slice idx: -2
[2023-12-24 23:39:51,955][root][INFO] - prev examples: [6937]
[2023-12-24 23:39:52,159][root][INFO] - len prev: 1
