[2024-01-16 09:34:24,085][root][INFO] - N Train Examples: 9902
[2024-01-16 09:34:24,320][root][INFO] - N Train Examples: 9902
[2024-01-16 09:34:40,373] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-01-16 09:34:40,529] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-01-16 09:34:40,530] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
trainable params: 6,815,744 || all params: 7,248,547,840 || trainable%: 0.0940290959023318
[2024-01-16 09:34:40,819][root][INFO] - PEFT Params: None
[2024-01-16 09:34:40,821] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.5584, 'learning_rate': 9.952e-05, 'epoch': 0.17}
{'loss': 1.5905, 'learning_rate': 9.951e-05, 'epoch': 0.18}
{'loss': 1.7519, 'learning_rate': 9.95e-05, 'epoch': 0.18}
{'eval_loss': 1.6721272468566895, 'eval_runtime': 28.5144, 'eval_samples_per_second': 34.754, 'eval_steps_per_second': 8.697, 'epoch': 0.18}
{'loss': 1.5779, 'learning_rate': 9.949000000000001e-05, 'epoch': 0.18}
{'loss': 1.5895, 'learning_rate': 9.948e-05, 'epoch': 0.19}
{'loss': 1.7163, 'learning_rate': 9.947000000000001e-05, 'epoch': 0.19}
{'loss': 1.5734, 'learning_rate': 9.946000000000001e-05, 'epoch': 0.19}
{'loss': 1.6264, 'learning_rate': 9.945e-05, 'epoch': 0.2}
{'loss': 1.5667, 'learning_rate': 9.944e-05, 'epoch': 0.2}
{'loss': 1.7141, 'learning_rate': 9.943e-05, 'epoch': 0.2}
{'loss': 1.8042, 'learning_rate': 9.942000000000001e-05, 'epoch': 0.21}
{'loss': 1.6502, 'learning_rate': 9.941e-05, 'epoch': 0.21}
{'loss': 1.5434, 'learning_rate': 9.94e-05, 'epoch': 0.22}
{'loss': 1.7067, 'learning_rate': 9.939000000000001e-05, 'epoch': 0.22}
{'loss': 1.6407, 'learning_rate': 9.938e-05, 'epoch': 0.22}
{'loss': 1.6096, 'learning_rate': 9.937e-05, 'epoch': 0.23}
{'loss': 1.5995, 'learning_rate': 9.936000000000001e-05, 'epoch': 0.23}
{'loss': 1.4697, 'learning_rate': 9.935000000000002e-05, 'epoch': 0.23}
{'loss': 1.7152, 'learning_rate': 9.934e-05, 'epoch': 0.24}
{'loss': 1.65, 'learning_rate': 9.933e-05, 'epoch': 0.24}
{'loss': 1.7611, 'learning_rate': 9.932e-05, 'epoch': 0.24}
{'loss': 1.725, 'learning_rate': 9.931000000000001e-05, 'epoch': 0.25}
{'loss': 1.5899, 'learning_rate': 9.93e-05, 'epoch': 0.25}
{'loss': 1.6878, 'learning_rate': 9.929e-05, 'epoch': 0.25}
{'loss': 1.8514, 'learning_rate': 9.928000000000001e-05, 'epoch': 0.26}
{'loss': 1.7771, 'learning_rate': 9.927e-05, 'epoch': 0.26}
{'loss': 1.6158, 'learning_rate': 9.926000000000001e-05, 'epoch': 0.27}
{'loss': 1.677, 'learning_rate': 9.925000000000001e-05, 'epoch': 0.27}
{'loss': 1.5992, 'learning_rate': 9.924e-05, 'epoch': 0.27}
{'loss': 1.6598, 'learning_rate': 9.923e-05, 'epoch': 0.28}
{'loss': 1.7671, 'learning_rate': 9.922e-05, 'epoch': 0.28}
{'loss': 1.8109, 'learning_rate': 9.921000000000001e-05, 'epoch': 0.28}
{'loss': 1.8567, 'learning_rate': 9.92e-05, 'epoch': 0.29}
{'loss': 1.6427, 'learning_rate': 9.919e-05, 'epoch': 0.29}
{'loss': 1.6071, 'learning_rate': 9.918000000000001e-05, 'epoch': 0.29}
{'loss': 1.6634, 'learning_rate': 9.917e-05, 'epoch': 0.3}
{'loss': 1.6453, 'learning_rate': 9.916e-05, 'epoch': 0.3}
{'loss': 1.6727, 'learning_rate': 9.915000000000001e-05, 'epoch': 0.31}
{'loss': 1.7575, 'learning_rate': 9.914e-05, 'epoch': 0.31}
{'loss': 1.7608, 'learning_rate': 9.913e-05, 'epoch': 0.31}
{'loss': 1.6963, 'learning_rate': 9.912e-05, 'epoch': 0.32}
{'loss': 1.7284, 'learning_rate': 9.911e-05, 'epoch': 0.32}
{'loss': 1.4994, 'learning_rate': 9.910000000000001e-05, 'epoch': 0.32}
{'loss': 1.7086, 'learning_rate': 9.909e-05, 'epoch': 0.33}
{'loss': 1.7551, 'learning_rate': 9.908000000000001e-05, 'epoch': 0.33}
{'loss': 1.659, 'learning_rate': 9.907000000000001e-05, 'epoch': 0.33}
{'loss': 1.775, 'learning_rate': 9.906e-05, 'epoch': 0.34}
{'loss': 1.7067, 'learning_rate': 9.905000000000001e-05, 'epoch': 0.34}
{'loss': 1.6316, 'learning_rate': 9.904e-05, 'epoch': 0.34}
{'loss': 1.668, 'learning_rate': 9.903e-05, 'epoch': 0.35}
{'loss': 1.6973, 'learning_rate': 9.902e-05, 'epoch': 0.35}
{'loss': 1.5635, 'learning_rate': 9.901e-05, 'epoch': 0.36}
{'loss': 1.6952, 'learning_rate': 9.900000000000001e-05, 'epoch': 0.36}
{'eval_loss': 1.6609288454055786, 'eval_runtime': 28.5256, 'eval_samples_per_second': 34.741, 'eval_steps_per_second': 8.694, 'epoch': 0.36}
{'loss': 1.7542, 'learning_rate': 9.899e-05, 'epoch': 0.36}
{'loss': 1.496, 'learning_rate': 9.898e-05, 'epoch': 0.37}
{'loss': 1.5579, 'learning_rate': 9.897000000000001e-05, 'epoch': 0.37}
{'loss': 1.5227, 'learning_rate': 9.896000000000001e-05, 'epoch': 0.37}
{'loss': 1.5919, 'learning_rate': 9.895e-05, 'epoch': 0.38}
{'loss': 1.6032, 'learning_rate': 9.894e-05, 'epoch': 0.38}
{'loss': 1.6976, 'learning_rate': 9.893e-05, 'epoch': 0.38}
{'loss': 1.7176, 'learning_rate': 9.892e-05, 'epoch': 0.39}
{'loss': 1.6237, 'learning_rate': 9.891e-05, 'epoch': 0.39}
{'loss': 1.562, 'learning_rate': 9.89e-05, 'epoch': 0.39}
{'loss': 1.6939, 'learning_rate': 9.889000000000001e-05, 'epoch': 0.4}
{'loss': 1.5774, 'learning_rate': 9.888e-05, 'epoch': 0.4}
{'loss': 1.7294, 'learning_rate': 9.887000000000001e-05, 'epoch': 0.41}
{'loss': 1.6947, 'learning_rate': 9.886000000000001e-05, 'epoch': 0.41}
{'loss': 1.646, 'learning_rate': 9.885e-05, 'epoch': 0.41}
{'loss': 1.6207, 'learning_rate': 9.884e-05, 'epoch': 0.42}
{'loss': 1.7682, 'learning_rate': 9.883e-05, 'epoch': 0.42}
{'loss': 1.5825, 'learning_rate': 9.882e-05, 'epoch': 0.42}
{'loss': 1.5632, 'learning_rate': 9.881e-05, 'epoch': 0.43}
{'loss': 1.696, 'learning_rate': 9.88e-05, 'epoch': 0.43}
{'loss': 1.6642, 'learning_rate': 9.879000000000001e-05, 'epoch': 0.43}
{'loss': 1.6046, 'learning_rate': 9.878e-05, 'epoch': 0.44}
{'loss': 1.6371, 'learning_rate': 9.877e-05, 'epoch': 0.44}
{'loss': 1.6648, 'learning_rate': 9.876000000000001e-05, 'epoch': 0.45}
{'loss': 1.7459, 'learning_rate': 9.875000000000002e-05, 'epoch': 0.45}
{'loss': 1.5658, 'learning_rate': 9.874e-05, 'epoch': 0.45}
{'loss': 1.6543, 'learning_rate': 9.873e-05, 'epoch': 0.46}
{'loss': 1.6475, 'learning_rate': 9.872e-05, 'epoch': 0.46}
{'loss': 1.6118, 'learning_rate': 9.871000000000001e-05, 'epoch': 0.46}
{'loss': 1.6094, 'learning_rate': 9.87e-05, 'epoch': 0.47}
{'loss': 1.6842, 'learning_rate': 9.869e-05, 'epoch': 0.47}
{'loss': 1.7933, 'learning_rate': 9.868000000000001e-05, 'epoch': 0.47}
{'loss': 1.735, 'learning_rate': 9.867e-05, 'epoch': 0.48}
{'loss': 1.6488, 'learning_rate': 9.866000000000001e-05, 'epoch': 0.48}
{'loss': 1.6795, 'learning_rate': 9.865000000000001e-05, 'epoch': 0.48}
{'loss': 1.6039, 'learning_rate': 9.864e-05, 'epoch': 0.49}
{'loss': 1.6297, 'learning_rate': 9.863e-05, 'epoch': 0.49}
{'loss': 1.6237, 'learning_rate': 9.862e-05, 'epoch': 0.5}
{'loss': 1.5601, 'learning_rate': 9.861e-05, 'epoch': 0.5}
{'loss': 1.5946, 'learning_rate': 9.86e-05, 'epoch': 0.5}
{'loss': 1.642, 'learning_rate': 9.859e-05, 'epoch': 0.51}
{'loss': 1.7653, 'learning_rate': 9.858000000000001e-05, 'epoch': 0.51}
{'loss': 1.5322, 'learning_rate': 9.857000000000001e-05, 'epoch': 0.51}
{'loss': 1.6962, 'learning_rate': 9.856e-05, 'epoch': 0.52}
{'loss': 1.715, 'learning_rate': 9.855000000000001e-05, 'epoch': 0.52}
{'loss': 1.6182, 'learning_rate': 9.854000000000002e-05, 'epoch': 0.52}
{'loss': 1.7488, 'learning_rate': 9.853e-05, 'epoch': 0.53}
{'loss': 1.7211, 'learning_rate': 9.852e-05, 'epoch': 0.53}
{'loss': 1.7888, 'learning_rate': 9.851e-05, 'epoch': 0.54}
{'loss': 1.7607, 'learning_rate': 9.850000000000001e-05, 'epoch': 0.54}
{'eval_loss': 1.652320146560669, 'eval_runtime': 28.52, 'eval_samples_per_second': 34.748, 'eval_steps_per_second': 8.696, 'epoch': 0.54}
{'loss': 1.5869, 'learning_rate': 9.849e-05, 'epoch': 0.54}
{'loss': 1.597, 'learning_rate': 9.848e-05, 'epoch': 0.55}
{'loss': 1.575, 'learning_rate': 9.847000000000001e-05, 'epoch': 0.55}
{'loss': 1.6707, 'learning_rate': 9.846e-05, 'epoch': 0.55}
{'loss': 1.6527, 'learning_rate': 9.845000000000001e-05, 'epoch': 0.56}
{'loss': 1.5421, 'learning_rate': 9.844000000000001e-05, 'epoch': 0.56}
{'loss': 1.6031, 'learning_rate': 9.843e-05, 'epoch': 0.56}
{'loss': 1.6113, 'learning_rate': 9.842e-05, 'epoch': 0.57}
{'loss': 1.581, 'learning_rate': 9.841e-05, 'epoch': 0.57}
{'loss': 1.6564, 'learning_rate': 9.84e-05, 'epoch': 0.57}
{'loss': 1.6853, 'learning_rate': 9.839e-05, 'epoch': 0.58}
{'loss': 1.6792, 'learning_rate': 9.838e-05, 'epoch': 0.58}
{'loss': 1.514, 'learning_rate': 9.837000000000001e-05, 'epoch': 0.59}
{'loss': 1.7192, 'learning_rate': 9.836000000000001e-05, 'epoch': 0.59}
{'loss': 1.6605, 'learning_rate': 9.835e-05, 'epoch': 0.59}
{'loss': 1.6956, 'learning_rate': 9.834000000000001e-05, 'epoch': 0.6}
{'loss': 1.6827, 'learning_rate': 9.833e-05, 'epoch': 0.6}
{'loss': 1.6236, 'learning_rate': 9.832000000000001e-05, 'epoch': 0.6}
{'loss': 1.6683, 'learning_rate': 9.831e-05, 'epoch': 0.61}
{'loss': 1.732, 'learning_rate': 9.83e-05, 'epoch': 0.61}
{'loss': 1.8069, 'learning_rate': 9.829000000000001e-05, 'epoch': 0.61}
{'loss': 1.6707, 'learning_rate': 9.828e-05, 'epoch': 0.62}
{'loss': 1.5775, 'learning_rate': 9.827e-05, 'epoch': 0.62}
{'loss': 1.655, 'learning_rate': 9.826000000000001e-05, 'epoch': 0.62}
{'loss': 1.6364, 'learning_rate': 9.825e-05, 'epoch': 0.63}
{'loss': 1.5751, 'learning_rate': 9.824000000000001e-05, 'epoch': 0.63}
{'loss': 1.5581, 'learning_rate': 9.823e-05, 'epoch': 0.64}
{'loss': 1.6728, 'learning_rate': 9.822e-05, 'epoch': 0.64}
{'loss': 1.6966, 'learning_rate': 9.821e-05, 'epoch': 0.64}
{'loss': 1.817, 'learning_rate': 9.82e-05, 'epoch': 0.65}
{'loss': 1.5497, 'learning_rate': 9.819000000000001e-05, 'epoch': 0.65}
{'loss': 1.5394, 'learning_rate': 9.818000000000001e-05, 'epoch': 0.65}
{'loss': 1.6664, 'learning_rate': 9.817e-05, 'epoch': 0.66}
{'loss': 1.7946, 'learning_rate': 9.816000000000001e-05, 'epoch': 0.66}
{'loss': 1.6553, 'learning_rate': 9.815000000000001e-05, 'epoch': 0.66}
{'loss': 1.7536, 'learning_rate': 9.814e-05, 'epoch': 0.67}
{'loss': 1.6679, 'learning_rate': 9.813e-05, 'epoch': 0.67}
{'loss': 1.6325, 'learning_rate': 9.812e-05, 'epoch': 0.68}
{'loss': 1.8803, 'learning_rate': 9.811000000000001e-05, 'epoch': 0.68}
{'loss': 1.7612, 'learning_rate': 9.81e-05, 'epoch': 0.68}
{'loss': 1.4816, 'learning_rate': 9.809e-05, 'epoch': 0.69}
{'loss': 1.6451, 'learning_rate': 9.808000000000001e-05, 'epoch': 0.69}
{'loss': 1.6537, 'learning_rate': 9.807e-05, 'epoch': 0.69}
{'loss': 1.7306, 'learning_rate': 9.806e-05, 'epoch': 0.7}
{'loss': 1.6752, 'learning_rate': 9.805000000000001e-05, 'epoch': 0.7}
{'loss': 1.5506, 'learning_rate': 9.804e-05, 'epoch': 0.7}
{'loss': 1.535, 'learning_rate': 9.803e-05, 'epoch': 0.71}
{'loss': 1.7026, 'learning_rate': 9.802e-05, 'epoch': 0.71}
{'loss': 1.8, 'learning_rate': 9.801e-05, 'epoch': 0.71}
{'loss': 1.7212, 'learning_rate': 9.8e-05, 'epoch': 0.72}
{'eval_loss': 1.64146089553833, 'eval_runtime': 28.5381, 'eval_samples_per_second': 34.725, 'eval_steps_per_second': 8.69, 'epoch': 0.72}
{'loss': 1.6109, 'learning_rate': 9.799e-05, 'epoch': 0.72}
{'loss': 1.5509, 'learning_rate': 9.798000000000001e-05, 'epoch': 0.73}
{'loss': 1.6391, 'learning_rate': 9.797000000000001e-05, 'epoch': 0.73}
{'loss': 1.4855, 'learning_rate': 9.796e-05, 'epoch': 0.73}
{'loss': 1.7207, 'learning_rate': 9.795000000000001e-05, 'epoch': 0.74}
{'loss': 1.7191, 'learning_rate': 9.794000000000001e-05, 'epoch': 0.74}
{'loss': 1.5453, 'learning_rate': 9.793e-05, 'epoch': 0.74}
{'loss': 1.66, 'learning_rate': 9.792e-05, 'epoch': 0.75}
{'loss': 1.5969, 'learning_rate': 9.791e-05, 'epoch': 0.75}
{'loss': 1.7124, 'learning_rate': 9.790000000000001e-05, 'epoch': 0.75}
{'loss': 1.5634, 'learning_rate': 9.789e-05, 'epoch': 0.76}
{'loss': 1.6467, 'learning_rate': 9.788e-05, 'epoch': 0.76}
{'loss': 1.7212, 'learning_rate': 9.787000000000001e-05, 'epoch': 0.76}
{'loss': 1.563, 'learning_rate': 9.786e-05, 'epoch': 0.77}
{'loss': 1.6826, 'learning_rate': 9.785e-05, 'epoch': 0.77}
{'loss': 1.5934, 'learning_rate': 9.784000000000001e-05, 'epoch': 0.78}
{'loss': 1.5885, 'learning_rate': 9.783e-05, 'epoch': 0.78}
{'loss': 1.6483, 'learning_rate': 9.782e-05, 'epoch': 0.78}
{'loss': 1.5787, 'learning_rate': 9.781e-05, 'epoch': 0.79}
{'loss': 1.5919, 'learning_rate': 9.78e-05, 'epoch': 0.79}
{'loss': 1.7714, 'learning_rate': 9.779e-05, 'epoch': 0.79}
{'loss': 1.7065, 'learning_rate': 9.778e-05, 'epoch': 0.8}
{'loss': 1.6411, 'learning_rate': 9.777000000000001e-05, 'epoch': 0.8}
{'loss': 1.5777, 'learning_rate': 9.776000000000001e-05, 'epoch': 0.8}
{'loss': 1.6754, 'learning_rate': 9.775e-05, 'epoch': 0.81}
{'loss': 1.5418, 'learning_rate': 9.774000000000001e-05, 'epoch': 0.81}
{'loss': 1.7551, 'learning_rate': 9.773e-05, 'epoch': 0.82}
{'loss': 1.6404, 'learning_rate': 9.772e-05, 'epoch': 0.82}
{'loss': 1.4265, 'learning_rate': 9.771e-05, 'epoch': 0.82}
{'loss': 1.6908, 'learning_rate': 9.77e-05, 'epoch': 0.83}
{'loss': 1.6959, 'learning_rate': 9.769000000000001e-05, 'epoch': 0.83}
{'loss': 1.5339, 'learning_rate': 9.768e-05, 'epoch': 0.83}
{'loss': 1.6281, 'learning_rate': 9.767e-05, 'epoch': 0.84}
{'loss': 1.5777, 'learning_rate': 9.766000000000001e-05, 'epoch': 0.84}
{'loss': 1.5776, 'learning_rate': 9.765e-05, 'epoch': 0.84}
{'loss': 1.7226, 'learning_rate': 9.764000000000001e-05, 'epoch': 0.85}
{'loss': 1.54, 'learning_rate': 9.763e-05, 'epoch': 0.85}
{'loss': 1.6201, 'learning_rate': 9.762e-05, 'epoch': 0.85}
{'loss': 1.6643, 'learning_rate': 9.761e-05, 'epoch': 0.86}
{'loss': 1.7548, 'learning_rate': 9.76e-05, 'epoch': 0.86}
{'loss': 1.5885, 'learning_rate': 9.759e-05, 'epoch': 0.87}
{'loss': 1.6843, 'learning_rate': 9.758000000000001e-05, 'epoch': 0.87}
{'loss': 1.7382, 'learning_rate': 9.757e-05, 'epoch': 0.87}
{'loss': 1.6337, 'learning_rate': 9.756000000000001e-05, 'epoch': 0.88}
{'loss': 1.5942, 'learning_rate': 9.755000000000001e-05, 'epoch': 0.88}
{'loss': 1.6585, 'learning_rate': 9.754e-05, 'epoch': 0.88}
{'loss': 1.5899, 'learning_rate': 9.753e-05, 'epoch': 0.89}
{'loss': 1.7327, 'learning_rate': 9.752e-05, 'epoch': 0.89}
{'loss': 1.5683, 'learning_rate': 9.751e-05, 'epoch': 0.89}
{'loss': 1.7077, 'learning_rate': 9.75e-05, 'epoch': 0.9}
{'eval_loss': 1.6394864320755005, 'eval_runtime': 28.5221, 'eval_samples_per_second': 34.745, 'eval_steps_per_second': 8.695, 'epoch': 0.9}
{'loss': 1.5501, 'learning_rate': 9.749e-05, 'epoch': 0.9}
{'loss': 1.6454, 'learning_rate': 9.748000000000001e-05, 'epoch': 0.9}
{'loss': 1.5108, 'learning_rate': 9.747e-05, 'epoch': 0.91}
{'loss': 1.5811, 'learning_rate': 9.746e-05, 'epoch': 0.91}
{'loss': 1.5996, 'learning_rate': 9.745000000000001e-05, 'epoch': 0.92}
{'loss': 1.6323, 'learning_rate': 9.744000000000002e-05, 'epoch': 0.92}
{'loss': 1.7014, 'learning_rate': 9.743000000000001e-05, 'epoch': 0.92}
{'loss': 1.8119, 'learning_rate': 9.742e-05, 'epoch': 0.93}
{'loss': 1.718, 'learning_rate': 9.741e-05, 'epoch': 0.93}
{'loss': 1.6751, 'learning_rate': 9.74e-05, 'epoch': 0.93}
{'loss': 1.7807, 'learning_rate': 9.739e-05, 'epoch': 0.94}
{'loss': 1.5617, 'learning_rate': 9.738e-05, 'epoch': 0.94}
{'loss': 1.5627, 'learning_rate': 9.737000000000001e-05, 'epoch': 0.94}
{'loss': 1.6064, 'learning_rate': 9.736e-05, 'epoch': 0.95}
{'loss': 1.5631, 'learning_rate': 9.735000000000001e-05, 'epoch': 0.95}
{'loss': 1.6792, 'learning_rate': 9.734000000000001e-05, 'epoch': 0.96}
{'loss': 1.4935, 'learning_rate': 9.733e-05, 'epoch': 0.96}
{'loss': 1.5089, 'learning_rate': 9.732e-05, 'epoch': 0.96}
{'loss': 1.6409, 'learning_rate': 9.731e-05, 'epoch': 0.97}
{'loss': 1.5568, 'learning_rate': 9.730000000000001e-05, 'epoch': 0.97}
{'loss': 1.7502, 'learning_rate': 9.729e-05, 'epoch': 0.97}
{'loss': 1.6196, 'learning_rate': 9.728e-05, 'epoch': 0.98}
{'loss': 1.6449, 'learning_rate': 9.727000000000001e-05, 'epoch': 0.98}
{'loss': 1.5891, 'learning_rate': 9.726e-05, 'epoch': 0.98}
{'loss': 1.6177, 'learning_rate': 9.725e-05, 'epoch': 0.99}
{'loss': 1.5463, 'learning_rate': 9.724000000000001e-05, 'epoch': 0.99}
{'loss': 1.6381, 'learning_rate': 9.723000000000002e-05, 'epoch': 0.99}
{'loss': 1.6858, 'learning_rate': 9.722e-05, 'epoch': 1.0}
{'loss': 1.5711, 'learning_rate': 9.721e-05, 'epoch': 1.0}
{'loss': 1.6284, 'learning_rate': 9.72e-05, 'epoch': 1.01}
{'loss': 1.6388, 'learning_rate': 9.719000000000001e-05, 'epoch': 1.01}
{'loss': 1.561, 'learning_rate': 9.718e-05, 'epoch': 1.01}
{'loss': 1.5893, 'learning_rate': 9.717e-05, 'epoch': 1.02}
{'loss': 1.5473, 'learning_rate': 9.716000000000001e-05, 'epoch': 1.02}
{'loss': 1.5622, 'learning_rate': 9.715e-05, 'epoch': 1.02}
{'loss': 1.5855, 'learning_rate': 9.714000000000001e-05, 'epoch': 1.03}
{'loss': 1.5408, 'learning_rate': 9.713000000000001e-05, 'epoch': 1.03}
{'loss': 1.5932, 'learning_rate': 9.712e-05, 'epoch': 1.03}
{'loss': 1.6317, 'learning_rate': 9.711e-05, 'epoch': 1.04}
{'loss': 1.4698, 'learning_rate': 9.71e-05, 'epoch': 1.04}
{'loss': 1.6098, 'learning_rate': 9.709000000000001e-05, 'epoch': 1.04}
{'loss': 1.7507, 'learning_rate': 9.708e-05, 'epoch': 1.05}
{'loss': 1.5435, 'learning_rate': 9.707e-05, 'epoch': 1.05}
{'loss': 1.5118, 'learning_rate': 9.706000000000001e-05, 'epoch': 1.06}
{'loss': 1.6474, 'learning_rate': 9.705e-05, 'epoch': 1.06}
{'loss': 1.6458, 'learning_rate': 9.704e-05, 'epoch': 1.06}
{'loss': 1.6838, 'learning_rate': 9.703000000000001e-05, 'epoch': 1.07}
{'loss': 1.5192, 'learning_rate': 9.702e-05, 'epoch': 1.07}
{'loss': 1.5034, 'learning_rate': 9.701e-05, 'epoch': 1.07}
{'loss': 1.5663, 'learning_rate': 9.7e-05, 'epoch': 1.08}
{'eval_loss': 1.6275852918624878, 'eval_runtime': 28.5133, 'eval_samples_per_second': 34.756, 'eval_steps_per_second': 8.698, 'epoch': 1.08}
{'loss': 1.6608, 'learning_rate': 9.699e-05, 'epoch': 1.08}
{'loss': 1.6327, 'learning_rate': 9.698000000000001e-05, 'epoch': 1.08}
{'loss': 1.674, 'learning_rate': 9.697e-05, 'epoch': 1.09}
{'loss': 1.4914, 'learning_rate': 9.696000000000001e-05, 'epoch': 1.09}
{'loss': 1.5963, 'learning_rate': 9.695000000000001e-05, 'epoch': 1.1}
{'loss': 1.5928, 'learning_rate': 9.694e-05, 'epoch': 1.1}
{'loss': 1.6444, 'learning_rate': 9.693000000000001e-05, 'epoch': 1.1}
{'loss': 1.4116, 'learning_rate': 9.692e-05, 'epoch': 1.11}
{'loss': 1.6221, 'learning_rate': 9.691e-05, 'epoch': 1.11}
{'loss': 1.5859, 'learning_rate': 9.69e-05, 'epoch': 1.11}
{'loss': 1.6041, 'learning_rate': 9.689e-05, 'epoch': 1.12}
{'loss': 1.5257, 'learning_rate': 9.688000000000001e-05, 'epoch': 1.12}
